title,information,courseId,dayId,exerciseId,image,reminderTime,exerciseTitle,subheading,copy,instructions,hasNext,screenType
Mindfulness Introduction,"Welcome to our introductory mindfulness course.\n\nThis 3 day introduction course will start you on the path to improving your mindfulness.\n\nLike all our programs, we recommend combining Mindfulness Introduction with regular meditation.\n\nIf you have any feedback please don’t hesitate to reach out. We are continually developing additional courses and adjusting our existing offerings based on feedback from people like you.\n\nPlease Enjoy!",101,,,,,,,,,,
,,,0,,begin,,First Step,3 Day Introduction to Mindfulness Course,3 Day Introduction to Mindfulness Course,This introduction course will improve your mindfulness practice for the next 3 days.\n\nGood luck in your practice.,TRUE,instruction
,,,0,Breath-4,sunrise,07:00:00,,,,,,
,,,0,Sensation-5,day,13:00:00,,,,,,
,,,0,Breath-5,night,19:00:00,,,,,,
,,,1,Breath-6,sunrise,06:00:00,,,,,,
,,,1,Sensation-6,day,12:00:00,,,,,,
,,,1,Breath-7,night,17:30:00,,,,,,
,,,2,Breath-8,sunrise,09:00:00,,,,,,
,,,2,Hear-0,day,15:00:00,,,,,,
,,,2,Breath-9,night,19:30:00,,,,,,
