id,title,exerciseType,copy,recommendedTime
Quote-0,Quote 1,Quote,"""The mind is everything. What you think you become.""

- Buddha",30000
Quote-1,Quote 2,Quote,"“Meditation is a way for nourishing and blossoming the divinity within you.”

- Amit Ray",30000
Quote-2,Quote 3,Quote,"""This moment, here, is inseparable from who you are at the deepest level.""

- Eckhart Tolle",30000
Quote-3,Quote 4,Quote,"“Feelings come and go like clouds in a windy sky. Conscious breathing is my anchor.”

- Thich Nhat Hanh",30000
Quote-4,Quote 5,Quote,"“If you want to conquer the anxiety of life, live in the moment, live in the breath.”

- Amit Ray",30000
Quote-5,Quote 6,Quote,"""If
the ocean
can calm itself,
so can you.
We
are both
salt water
mixed with
air.""

- Nayyirah Waheed",30000
Quote-6,Quote 7,Quote,"“Looking at beauty in the world, is the first step of purifying the mind.”

- Amit Ray",30000
Quote-7,Quote 8,Quote,"""The future is always beginning now.""

- Mark Strand",30000
Quote-8,Quote 9,Quote,"“To understand the immeasurable, the mind must be extraordinarily quiet, still.”

- Jiddu Krishnamurti",30000
Quote-9,Quote 10,Quote,"“Sometimes you need to sit lonely on the floor in a quiet room in order to hear your own voice and not let it drown in the noise of others.”

- Charlotte Eriksson",30000
Quote-10,Quote 11,Quote,"“An awake heart is like a sky that pours light.”

- Hafiz",30000
Quote-11,Quote 12,Quote,"“Beautify your inner dialogue. Beautify your inner world with love light and compassion. Life will be beautiful.”

- Amit Ray",30000
Quote-12,Quote 13,Quote,"""A simple practice. Accept whatever arises - within or without.""

- Eckhart Tolle",30000
Quote-13,Quote 14,Quote,"""If you just sit and observe, you will see how restless your mind is. If you try to calm it, it only makes it worse, but over time it does calm, and when it does, there's room to hear more subtle things--that's when your intuition starts to blossom and you start to see things more clearly and be in the present more. Your mind just slows down, and you see a tremendous expanse in the moment. You see so much more than you could see before.""

- Steve Jobs",30000
Quote-14,Quote 15,Quote,"“A woman is human.

She is not better, wiser, stronger, more intelligent, more creative, or more responsible than a man.

Likewise, she is never less.

Equality is a given.

A woman is human.”

- Vera Nazarian",30000
Quote-15,Quote 16,Quote,"""Give your attention to the experience of seeing rather than to the object seen and you will find yourself everywhere.""

- Rupert Spira",30000
Quote-16,Quote 17,Quote,"“You exist in time, but you belong to
eternity- You are a penetration of eternity into the world of time-You are
deathless, living in a body of death- Your consciousness knows no death, no
birth- It is only your body that is born and dies-But you are not aware of
your consciousness-You are not conscious of your consciousness-And that is the whole art of meditation;Becoming conscious of consciousness itself.”

- Osho",30000
Quote-17,Quote 18,Quote,"“Meditation is the dissolution of thoughts in Eternal awareness or Pure consciousness without objectification, knowing without thinking, merging finitude in infinity.”

- Voltaire",30000
Quote-18,Quote 19,Quote,"""Suffering usually relates to wanting things to be different than they are."" 

- Allan Lokos",30000
Quote-19,Quote 20,Quote,"“Self-observation is the first step of inner unfolding.”

- Amit Ray",30000
Quote-20,Quote 21,Quote,"“Your thoughts are your message to the world. Just as the rays are the messages of the Sun.”

- Amit Ray",30000
Quote-21,Quote 22,Quote,"“You asked me how to get out of the finite dimensions when I feel like it. I certainly don't use logic when I do it. Logic's the first thing you have to get rid of.”

- J.D. Salinger",30000
Quote-22,Quote 23,Quote,"“Have love for your inner Self and everything else is done for you.”

- Amit Ray",30000
Quote-23,Quote 24,Quote,"""Each morning we are born again. What we do today is what matters most.""

- Buddha",30000
